step,time,train_loss,val_loss,tokens_per_sec
0,0.05514025688171387,2.416259765625,,7131165.541015929
50,0.8515675067901611,2.5521240234375,,31073109.664525125
100,1.4632558822631836,2.4410400390625,,31442766.699025795
150,2.0753014087677,2.48675537109375,,32370312.88840039
200,2.688627243041992,2.44622802734375,,31870518.109799225
250,3.480998992919922,2.35809326171875,,32597439.305544026
300,4.095481634140015,2.34368896484375,,31091854.871599585
350,4.705917835235596,2.368408203125,,32341113.845478076
400,5.3362274169921875,2.31829833984375,,32648417.168105155
450,6.1268627643585205,2.3629150390625,,32630976.429258257
500,6.737933874130249,2.34136962890625,,32672347.741912477
550,7.347729206085205,2.34100341796875,,32797093.516495317
600,7.958953857421875,2.3526611328125,,32676231.681572326
650,8.748966932296753,2.37066650390625,,32680116.544752017
700,9.360257387161255,2.35638427734375,,32408477.92619375
750,9.971612930297852,2.364501953125,,32832350.081898354
800,10.602437019348145,2.35955810546875,,32580696.581734855
850,11.393004655838013,2.30499267578125,,31437971.858409103
900,12.005244016647339,2.3603515625,,32829735.88518423
950,12.61593747138977,2.37274169921875,,31524503.34812776
1000,13.22753119468689,2.29913330078125,,32698258.126925595
1050,14.020192623138428,2.3187255859375,,31464961.875457875
1100,14.633256196975708,2.3560791015625,,32148209.45896846
1150,15.246388673782349,2.306884765625,,31655805.02234165
1200,15.874011754989624,2.36419677734375,,33265443.87067105
1250,16.66602373123169,2.36358642578125,,32377303.0814111
1300,17.278446674346924,2.29376220703125,,32138812.51172126
1350,17.89023518562317,2.3558349609375,,32449925.06963109
1400,18.501363515853882,2.3121337890625,,32875544.51460123
1450,19.29247784614563,2.31787109375,,32519026.00043378
1500,19.905292510986328,2.33306884765625,,32135055.270814255
1550,20.51853060722351,2.322998046875,,32545335.89201989
1600,21.14863419532776,2.29095458984375,,31338212.390058525
1650,21.938483476638794,2.30859375,,32797093.516495317
1700,22.55045247077942,2.30023193359375,,31479976.363573898
1750,23.16229510307312,2.31201171875,,32204077.903344855
1800,23.77398920059204,2.31011962890625,,31243226.522391453
1850,24.56490993499756,2.312255859375,,32214142.26739848
1900,25.176377058029175,2.3194580078125,,31395481.642884336
1950,25.788231134414673,2.3138427734375,,32390020.260884933
